wiki_db,project,country,country_code,activity_level,count_eps,sum_eps,count_release_thresh,editors,edits,time
afwiki,af.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,9,13,2023-07
afwiktionary,af.wiktionary,Chile,CL,5 to 99,1.1,0.9,8,8,0,2023-07
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,182,248,2023-07
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,91,2126,2023-07
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,18,14,2023-07
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,718,923,2023-07
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1452,2023-07
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,154,2809,2023-07
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4514,5960,2023-07
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,63,5982,2023-07
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,808,12873,2023-07
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,60,69,2023-07
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,30,31,2023-07
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,23,18,2023-07
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,18,14,2023-07
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,16,14,2023-07
mrwikisource,mr.wikisource,Chile,CL,5 to 99,1.1,0.9,8,9,0,2023-07
nlwiki,nl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,19,2023-07
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,10,2023-07
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,10,10,2023-07
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,355,465,2023-07
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,9,983,2023-07
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,83,1536,2023-07
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,138,178,2023-08
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,43,59,2023-08
thwiki,th.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,0,2023-08
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,99,2090,2023-08
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,18,2023-08
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,21,20,2023-08
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,5217,6889,2023-08
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1145,2023-08
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,11,10,2023-08
ruwiki,ru.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,9,14,2023-08
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,20,28,2023-08
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,777,12153,2023-08
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,449,555,2023-08
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,24,29,2023-08
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,178,2489,2023-08
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,9,12,2023-08
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,28,38,2023-08
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,725,961,2023-08
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,9,296,2023-08
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,101,2036,2023-08
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,76,95,2023-08
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,76,7560,2023-08
frwiki,fr.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,11,527,2023-08
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,127,1940,2023-09
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,14,41,2023-09
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,130,180,2023-09
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,11,943,2023-09
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,379,499,2023-09
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,12,1204,2023-09
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4894,6522,2023-09
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,86,1993,2023-09
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,17,2023-09
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,18,2023-09
frwiki,fr.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,10,163,2023-09
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,74,1648,2023-09
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,728,11835,2023-09
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,28,51,2023-09
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,726,988,2023-09
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,8,611,2023-09
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,15,19,2023-09
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,11,30,2023-09
ruwiki,ru.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,16,2023-09
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,19,19,2023-09
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,59,73,2023-09
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,62,6124,2023-09
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,13,2023-10
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,17,18,2023-10
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,118,161,2023-10
nlwiki,nl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,18,2023-10
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,26,37,2023-10
plwiki,pl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,7,2023-10
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,12,1477,2023-10
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,767,1025,2023-10
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,146,2288,2023-10
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,813,13087,2023-10
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,68,74,2023-10
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,446,580,2023-10
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,5544,7482,2023-10
huwiki,hu.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,2,2023-10
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,8,614,2023-10
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,92,1737,2023-10
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,13,15,2023-10
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,20,24,2023-10
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,71,7162,2023-10
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,19,37,2023-10
zhwiki,zh.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,0,2023-10
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,11,1161,2023-10
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,60,1358,2023-10
viwiki,vi.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,9,2023-10
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,30,40,2023-10
trwiki,tr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,10,11,2023-10
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,127,164,2023-11
nlwiki,nl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,14,2023-11
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,8,390,2023-11
amwiktionary,am.wiktionary,Chile,CL,100 or more,1.1,0.9,8,8,0,2023-11
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,691,923,2023-11
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,148,2477,2023-11
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,31,38,2023-11
huwiki,hu.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,9,16,2023-11
plwiki,pl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,16,2023-11
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,15,2023-11
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,821,13014,2023-11
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,100,1765,2023-11
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,20,45,2023-11
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,410,512,2023-11
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,10,1119,2023-11
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,15,17,2023-11
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,57,1192,2023-11
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,60,6352,2023-11
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,13,27,2023-11
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,14,1016,2023-11
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,72,86,2023-11
mediawikiwiki,en.mediawiki,Chile,CL,1 to 4,1.1,0.9,8,9,15,2023-11
